 Blood Bank Name, State, District, City, Address,Pincode, Contact No, Mobile, Helpline, Email, Nodal Officer , Contact Nodal Officer, Mobile Nodal Officer, Email Nodal Officer, Category, License #
Blood Bank AH Madanapalli,Andhra Pradesh,CHITTOOR,Madanapalli," The Blood Bank Medical Officer, Area Hospital, Patel Road, Madanapalli 517 325, Chittoor Dist. , Andhra pradesh Dr.Laxmiprasadreddy9(M.O)",517325,8571222087, ,,  ircsbbmpl2009@gmail.com,,,,,Charity,18/CT/AP/2009/BBG
"Indian Red Cross Society, Madanapalli RCH 2",Andhra Pradesh,CHITTOOR,Madnapalli,"Area Hospital, Patel Road, Madanapalli.
",517325,08571 222087,9440580272,NA, ircsbbmpl2009@gmail.com,Dr. P. Radhakrishna Reddy,NA,9440580272, ircsbbmpl2009@gmail.com,Government,18/CP/AP/2009/BB/G
"Aswini Hospital Blood Bank, TTD",Andhra Pradesh,CHITTOOR,Tirumala,"Tirumala Tirupati Devastanam (TTD), Tirumala, Chittoor ",517507,9490651605,9490651605,,suresh.bandapalli@gmail.com,,,,,Charity,
SVRRGGH - Model Blood Bank,Andhra Pradesh,CHITTOOR,Tirupati,"S.V.R.R. Government General Hospital, Tirupati
",517502,0877 2286290,NA,NA,modelbloodbanktpt2010@gmail.com,Dr. L.Krishna,NA,9848369221,,Government,18/CT/AP/95/BB/CP
Sri Venkateswara Institute of Medical sciences Blood Bank,Andhra Pradesh,CHITTOOR,Tirupati,"Sri Venkateswara Institute of Medical Sciences (SVIMS) Campus, Tirupati",517507,0877 2287777,,,svimshosp ,,,,,Charity,
Govt Maternity Hospital Blood Bank,Andhra Pradesh,CHITTOOR,Tirupati,"Ruia Hospital Road, Tirupati",517507,,9949190197,,supdtgmhtirupati@yahoo.com,,,,,Government,
 TTD Central Hospital Blood Bank,Andhra Pradesh,CHITTOOR,Tirupati,"Tirumala Tirupati Devastanam (TTD), Kapil Teertham Road, Tirupati
",517501,0877 2264622,9849099750,NA,ttdcentralhospital@gmail.com,"Dr. J. Padmaja, Dr. R. V. S. Muralidhar ",8772264623,9959905559,ttdcentralhospital@gmail.com,Charity,85/CH/AP/BB/1997/R
S.V.S. Charitable Trust Blood Bank and Transfusion Centre,Andhra Pradesh,CHITTOOR,Tirupati,"10-13-514, 1st Floor, Reddy & Reddy Colony, Tirupathi",517501,0877 6667671 ,9246999571,,svsctbloodbank@gmail.com,,,,,Charity,
Government Hospital,Andhra Pradesh,EAST GODAVARI,Amalapuram,"Blood Bank Medical Officer,  Blood Bank, Government Hospital, Amalapuram",533201,,9989106236,,bloodbankahamp@gmail.com,Dr. G. KARNAL RAJU,9989106236,9989106236,bloodbankahamp@gmail.com,Government,
"M/S. Kims & Research Foundation, Hospital Blood Bank",Andhra Pradesh,EAST GODAVARI,Amalapuram,"Kims & Research Foundation, Hospital Blood Bank, Sy.No:813 & 817, Kamanagaruvu, Near Red Bridge, Amalapuram.",533201,"08856 237996, 08856 237997, 08856 237998",9949993495,NA,Principal07kims@yahoo.co.in,"Dr. E. Sanjeev Rao, Dr. P. Subba Rao	",NA,"07702998542, 09440542842	",kimsbbampeg@gmail.Com,Charity,5/EG/AP/2004/BB/R
M/s. A.P.V.V.P Area Hospital Blood Bank  ,Andhra Pradesh,EAST GODAVARI,Amalapuram,"Ground Floor Area Hospital, Amalapuram",533201,NA,"09505152234, 09491219991",NA,NA,"Dr. G. Karnal Raju		",NA,"09989106236	","bloodbankahamp@gmail.com	",Government,8/EG/AP/2006/BB/G
"M/s. Government General Hospital, Blood Bank.",Andhra Pradesh,EAST GODAVARI,Kakinada,"Government General Premises, Ground Floor, Kakinada",533001,0884 2302008,9390207027,,bloodbankgghkkd@gmail.com,Dr. K. Satyavani,9390207027,,drsatyavani@yahoo.co.in,Charity,
M/s. Indian Red Cross Society Blood Bank,Andhra Pradesh,EAST GODAVARI,Kakinada,"D.No: 8-14-39, Ground & 1st  Floor, Red Cross Street, Gandhi Nagar, Kakinada",533004,0884 2385800,9848071868,NA,nraopydah@yahoo.co.in,"Dr. Nageswar Rao				",NA,9848071868,redcrossbloodbank@yahoo.com,Charity,"14/EG/AP/2003/BB/G				"
M/s. Rotary Blood Bank (Rotary Club Golden Jubilee Charitable Trust),Andhra Pradesh,EAST GODAVARI,Kakinada,"Second Floor, D.No:15-8-3, Brahmarishi Road, Satya Prasanna Nagar, Kakinada
",533001,"0884 2367366, ",9494673434,NA,NA,Dr. P. Kamaraju,NA,"09848620802			",rotarybloodbank.kakinada@gmail.com,Charity,148/EG/AP/2000/BB/
District Headquarters Hospital,Andhra Pradesh,EAST GODAVARI,Rajahmundry,"Blood Bank Medical Officer, Blood Bank, District Headquarters . Hospital, Rajahmundry",533101,,9849520969,,govtbloodbank.rjy@gmail.com,,,,,,
M/s. G. S. L. Medical College General Hospital Blood Bank,Andhra Pradesh,EAST GODAVARI,Rajahmundry,"No-16, Lakshmi Puram, Rajanagaram, Rajahmundry.",533296,0883 2484999,,,,,,,gslbloodbank@gmail.com,Private,
"M/s. Swatantra Hospital,  Blood Bank",Andhra Pradesh,EAST GODAVARI,Rajahmundry,"D.No: 46-13-31,1st Floor, Gowthami Scan Centre Private Limited, Near Gandhi Park,  Danaviepeta, Rajahmundry.",533103,"0883 2464745, 0883 246569878, 0883 2461493",NA,NA,NA,"Dr. M. C. Ramesh	",NA,"09642359555		",swantantrabbrjy@gmail.com,Private,"127/EG/AP/98/BB/R	"
M/S. Dhanwantari Voluntary Blood Bank.,Andhra Pradesh,EAST GODAVARI,Rajahmundry,"D.No:46-21-1,2nd Floor, Danavaiepeta, Rajahmundry",533103,0833-2473050,9885186533,NA,dvbbrjy@gmail.com,"Dr K Srinivasa Murthy		",NA,"9949003311	",rjydvbb@gmail.com,Charity,"4/EG/AP/2007/BB/G	"
M/s. Government Area General Hospital Blood Bank.,Andhra Pradesh,EAST GODAVARI,Tuni,"M/s.Government Area Hospital Blood Bank, Area hospital, Tuni
",533401,08854 252333,"09849030908, 09505615556",NA,tunibloodbank@yahoo.com,Dr. C. Salmon raj,8854252333,"09849030908		",tunibloodbank@yahoo.com,Government,"14/EG/AP/2009/BB/G			"
M/s. Sakthi Voluntary Blood Bank (Sakthi Association for Social Awarness),Andhra Pradesh,EAST GODAVARI,Tuni,"D.No: 3-5-9, Opposite to Raithu Bazar, Lalam Satyanarayana Hospital Street, Tuni
",533401,08854 251123,"09347911130, 09948456739","NA			",NA,Dr. D. Ratnalal Naik,NA,9494952186,"sakthibloodbank@gmail.com	",Charity,"16/EG/AP/2009/BB/G			"
Government General Hospital Blood Bank,Andhra Pradesh,GUNTUR,Guntur,"Opposite to Railway Station, 1st Floor, C/o Government General Hospital, Guntur.
",522001,0863 2220035 (Ext No: 280),9966641474,NA,bloodbank.ggh.gnt@gmail.com,"Dr. Anasuyamma, Dr. Maruthi Devi 					",NA,"09966641474, 09963229506",bloodbank.ggh.gnt@gmail.com,Government,81/GNT/AP/97/BB/R
Indian Red Cross Society,Andhra Pradesh,GUNTUR,Guntur,"Blood Bank Medical Officer, Blood Bank, Indian Red Cross Society, Guntur, District Guntur",522004,,9985322589,,redcrossbloodbankguntur@yahoo.co.in,,,,,Charity,
Indian Red Cross Society Blood Bank ,Andhra Pradesh,GUNTUR,Guntur city,"Zilla Parishad Compound, Nagarampalem, GUNTUR
",522004,0863 2215656,"09848181601, 08121751295	",NA,NA,"Dr. Y. Prabhavathi	",NA,9985322589,redcrossbloodbankguntur@yahoo.co.in,Charity,15/GN/AP/2005/BB/G
Lions Club of Guntur Vision Blood Bank,Andhra Pradesh,GUNTUR,Guntur city,"1st Floor, Somuvari Street, Kothapeta, Guntur",522001,"0863 2336198, 0863 2336199 ",9246600777,,,Mr. Srinivas (Project Director)           ,,9440262674,lionsvisionbloodbank@gmail.com,Charity,
Padmavathi Day & Night Blood Bank,Andhra Pradesh,GUNTUR,Guntur city,"Opposite to Head Post Office, Behind Veterinary Hospital, Kothapeta ",522001,,,,,Dr. V. V. Subba Rao,,9394110333,"prabhudasmahe2@gmail.com,Drvvsra36@yahoo.com",Private,
M/s. Needs Blood Bank ,Andhra Pradesh,GUNTUR,Guntur city,"1st Floor, Honda Show Room Building, Opposite Doctor Plaza, Kothapeta
",522001,"0863 6638222, 0863 6639222",9246448899,NA,needsbloodbankguntur@gmail.com,"Dr. Sivaram Prasad, Dr. Kishore 		",NA,9246448899,srineeds@gmail.com,Charity,07/GN/AP/2008/BB/G
M/s. Sri Lakshmi Maternity & Surgical Nursing Home Blood Bank ,Andhra Pradesh,GUNTUR,Guntur city,"4th Floor, Behind Sivalayam Temple, Kothapeta
",522001,0863 2219955,,,,,,,Srilakshmibloodbank@gmail.com,Private,
Saint Joseph General Hospital Blood Bank,Andhra Pradesh,GUNTUR,Guntur city,"Opposite to Andhra Christian College, Near Flyover, Main Road, Guntur
",522001,"0863 2322700, 0863 2320386 ",9493819977,NA,NA,Sr. Dr. Any,NA,9441065463,Stjh_gnt@yahoo.com,Charity,92/GNT/AP/97/BB/R
NTR Memorial Trust Blood Bank,Andhra Pradesh,GUNTUR,Guntur city,"Door No. 13-2-87, 1st Line G. V. Thota",522001,0863 2339444 ,,,,Mr. Sashi Dhar (Manager)    ,9032005616,,gtrbb@ntrtrust.org,Charity,
Katuri Medical College and Hospital Blood Bank ,Andhra Pradesh,GUNTUR,Guntur Rural,"Katuri Nagar, Chinakondrupadu, Guntur
",522019,"0863 2288555, 0863 2288556 (Ext No. 234) ",NA,NA,katuribloodbank@gmail.com,Dr. T. Mahathi.,NA,9160983595,katuribloodbank@gmail.com,Private,15/GN/AP/2003/BB/G
NRI Medical College and General Hospital Blood Bank,Andhra Pradesh,GUNTUR,Guntur Rural,"Mangalagiri Mandalam, Chinakakani, Guntur
",522503,"08645 236777, 08645 237401, 08645 230101","09849989813, 09849989843",NA,NA,"Dr. K. M. N. Prasad	",NA,9849948887,bloodbanknri@yahoo.com,Private,11/GN/AP/2003/BB/CP
Manipal Hospital Bloodbank,Andhra Pradesh,GUNTUR,Guntur Rural,"Soumyanagar, Tadepalli, Guntur",522501,0866 2489700 (Ext No.102),NA,NA,NA,Dr. C. Sita Latha,NA,9440108197,c.sitalatha@yahoo.com,Private,24/GN/AP/2009/BB/G
Indian Red Cross Society Blood Bank. Narassraopet,Andhra Pradesh,GUNTUR,Narasaraopeta,"Area Hospital, Narasaraopeta ",522601,8647224455,"09885222155, 09885838866",08647 224455,nrtbloodbankircs@gmail.com,Dr. Babu Reddy ,9885222155,9885222156,ntrbloodbankircs@gmail.com,Charity,
NRT Blood Bank,Andhra Pradesh,GUNTUR,Narasaraopeta,"GBR Super Speciality Hospital, 10-1-10/1, Palnadu Road, Narasaraopeta
",522601,9542628888,9985148884,NA,nrtbioodbank@gmail.com,"Dr. K. Priyanka 	",NA,7799822212,nrtbloodbank@gmail.com,Private,04/GNT/AP/2014/BB/G
Anjireddy Multi Specality Blood Bank ,Andhra Pradesh,GUNTUR,Piduguralla,"Gaganamma Temple, Piduguralla
",522413,08649 254567,9849212042,NA,NA,Dr. C. C. Subba Rao,NA,8332812042,athotasunilkumar@gmail.com,Private,03/GNT/AP/2014/BB/G
Red Cross Blood Bank,Andhra Pradesh,GUNTUR,Repalle," Government Hospital Premises
 Repalle-522265
 Guntur Dist,A.P
",522265,08648 223939,9177883353,NA,rplredcrossbb@gmail.com,Dr. V. Veera Raghavaiah,08648 - 223939,9177883353,dr.raghava2015@gmail.com,Charity,09/GNL/2006/AP/BB/R
Area Hospital (Repeated),Andhra Pradesh,GUNTUR,Tenali,"Blood Bank Medical Officer,  Blood Bank, Area Hospital, Tenali, Guntur District",522201,,9866686760,,tenalibloodbank@gmail.com,,,,,,
APVVP District Hospital Blood Bank,Andhra Pradesh,GUNTUR,Tenali,"APVVP District Hospital Premises, Chenchupeta, Tenali, Guntur",522202,,,,,Dr. Sujhatha,8985100299,,tenalibloodbank@gmail.com,Government,
Rudhira Voluntary Blood Bank,Andhra Pradesh,GUNTUR,Tenali,"D.No. 7-5-56, KRR Complex, 1st Floor, Opposite ASN college, Prakasam Road, Ganganammapeta, Tenali",522201,"08644 231222, 08644 654123",9247155622,NA,"maruthi_nagalingam@yahoo.com	",Dr. C. Rajesh,NA,9949934144,rudhira.voluntary@gmail.com,Private,13/GNT/AP/2010/BB/CP
Best Rotary Blood Bank,Andhra Pradesh,GUNTUR,Tenali,"Mahila Mandali Building, Sarojini Naidu Street, Kothapeta, Tenali 
",522201,NA,"09849833321	","NA		",NA,Dr. Siva Vara Prasad,NA,8143911234,bestrotarybloodbank@gmail.com,Private,2/GNT/AP/2010/BB/G
Area Hospital Blood Bank,Andhra Pradesh,KRISHNA,Gudivada,Gudivada,521301,08674 245040,7799990904,NA,areahospital.gudivada@gmail.com,Dr. Satyanarayana,NA,9848607402,areahospital.gudivada@gmail.com,Government,84/KR/AP/97/BB/R
Dr. Pattabhi Red Cross Blood Bank ,Andhra Pradesh,KRISHNA,Machilipatnam,"DM & HO Campus, Machilipatnam",521001,08672 230605,NA,NA,drprcbloodbankmtm@gmail.com,Dr. S. V. Ramana,NA,8019905040,drprcbloodbankmtm@gmail.com,Charity,11/K.R/AP/2004/BB/G
Government General Hospital (Repeated),Andhra Pradesh,KRISHNA,Vijayawada,"Government General Hospital, Ramavarapadu, Vijayawada - 520007",520007,9866686760,8662452244,,gghbbvij@gmail.com,,,,,,
Government District Headquarters Hospital machilipatnam blood bank,Andhra Pradesh,KRISHNA,Vijayawada,Machilipatnam,521001, 08672 245040,,,dhmtmbb@gmail.com,DR .A.B.S. SRINIVASARAO,,,,Government,LIC NO.71/KR/AP/1997/BB/R DT. 31-12-2017.
Rotary Red Cross Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,"H.No: 26-5-5, G.S Raju Street, Gandhinagar, Vijayawada - 520003. Krishna District

",520003,"0866 2570082, 0866 6464002",9848124977,NA,redcrosskrishna@gmail.com,Dr. S. Madhana Mohan,NA,9441902311,redcrosskrishna@gmail.com,Charity,"2/HD/AP/2002/BB/G		"
Vijaya Sri Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,"VijayaSri Palace,D. No. 29-19-27/4, Ground Floor, First Floor and Second Floor, Dornakal Road, Suryaraopet, Vijayawada",520002,0866 2433199,9392120187,,vijayasribloodbankvja @gmail.com,Dr.T.Gopala Krishna Murthy,9392120187,9701233199,drtgopalakrishnamurthy @yahoo.com,Charity,14/KR/AP/2005/BB/CP
Lions Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,"D. No. 29-19-85, 1st & 2nd Floor,Old Janatha Hospital Building, Dornakal Road, Suryaraopet, Vijayawada
",520002,0866 2434417,NA,NA,lionsbloodbank@yahoo.com,Dr. Kiran Kumar,NA,NA,NA,Charity,22/KR/AP/2009/BB/G
University General Hospital Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,"Ring Road, Gunadala, Vijayawada",520 008,"0866 2452244, 0866 2453488",NA,NA,"gghbbvij@gmail.com	",Dr. V. Kiranmayee,NA,9440357428,"kiranmayi.bogarapu@gmail.com, ",Government,66/KR/AP/97/BB/CP
M/s. Chaitanya Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,"40-9/1-26, Vasavya Complex, Benz Circle, Vijayawada
",520010,"0866 2497977, 0866 645977",9246289777,NA,NA,Dr. Rama Reddy,NA,9246289777,chaitanyabloodbank@gmail.com,Charity,19/KR/AP/2010/BB/G
Nagarjuna Hospital Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,"Kanuru, Vijayawada",,0866 2554701,9848141550,,,,,,,Private,
Saint Ann&#39;s Hospital Blood Bank  ,Andhra Pradesh,KRISHNA,Vijayawada,"Punnammathota, Bandhar Road, Vijayawada - 2
",520 002,0866 2572057,NA,NA,annshospitall@gmail.com,Dr. Rama,NA,9849668937,NA,Private,163/KR/AP/2001/BB/R
Rotary Red Cross Blood Bank (Repeated),Andhra Pradesh,KRISHNA,Vijayawada,"26-5-5, G.S. Raju Road, Vijayawada ",520 003,2570082,,,,,,,,Charity,
Dr. Pinnamaneni Siddhartha Insitiute of Medical Sciences & Research Foundation (Dr.P.SIMS & RF) Blood Bank  ,Andhra Pradesh,KRISHNA,Vijayawada,Chinnaoutapalli. ,521286,08676 257311,NA,NA,NA,Dr. Ranga Rao,NA,"09866500278	",bb.drpsims@gmail.com,Private,07/KR/AP/2003/BB/R
Bethesda Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,"29-10-2, Ground Floor, Narsimharao Street, Suryaraopet, Vijayawada ",,0866 2435888,098498 33321,,,,,,,,
"Smt CH. Manju Vani Vara Prasad, Lions District 316D Blood Bank ",Andhra Pradesh,KRISHNA,Vijayawada,"H.No.29-4-54K, Conan Dhanvoda Anantham Complex, Prakasam Road, Suryaraopet, Vijayawada",520002,0866 2573636,9849118077,NA,lionsbloodbank@yahoo.com,Dr K S R K Prasad,NA,NA,lionsbloodbank@yahoo.com,Charity,08/KR/AP/2005/R
Suraksha Voluntary Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,"29-10-8, Govinda Rajulu Naidu Street, Suryaraopet, Vijayawada 
",520002,0866 2434499,9394777899,NA,surakshabloodbank@gmail.com,Dr. C. S. R. Prasad,"0866 2434499	",9394777899,surakshabloodbank@gmail.com,Charity,03/VJ/AP/2009/BB/CP
M/s Ayush Nri Lepl Health Care Private Limited  ,Andhra Pradesh,KRISHNA,Vijayawada,"First Floor, D. No. 40-13-3& 3A, Ring Road, Sriramachandra Nagar, Vijayawada
",520008,0866 2541414,8498061158,NA,NA,"Dr. P. Padma, Dr. Prahlad Rao	",NA,"08498061186, 09848377347",bloodbank@aayushhospitals.com,Private,01/VJ/AP/2014/BB/G
M/s. Nimra Institute of Medical Sciences ,Andhra Pradesh,KRISHNA,Vijayawada,"Ground Floor, Adjacent to Central Lab, Teaching Hospital & Research Centre, Nimranagar, Jupudi, Ibrahimpatmnam, Vijayawada.Krishna ",521456,"0866 6500000, 0866 6545454",,,nimrabloodbank@gmail.com,,,,,Private,07/KN/AP/2012/BB/G
"RCH -II Blood Bank, Area Hospital, Adoni",Andhra Pradesh,KURNOOL,Adoni,"Dr. H. Siva Reddy, Civil Surgeon RMO (Rtd),Medical Officer  IRCS, RCH-II, Blood Bank, Area Hospital, Adoni-518301",518301,,9440503302,,drhsivareddy123@gmail.com,,,,,Government,26/KNL/AP/2009/BB/G
M/s. Indian Red Cross Society Blood Bank RCH 2,Andhra Pradesh,KURNOOL,Adoni,"First Floor, Government Area Hospital, Adoni, Kurnool
",518301,NA,9440503302,NA,NA,"Dr. Shiva Reddy	",NA,9440503302,ircsbloodbank@gmail.com,Charity,26/KNL/AP/2009/BB/G
M/s. Government General Hospital Blood Bank,Andhra Pradesh,KURNOOL,Kurnool,kurnool,518002,,9985676311,,knlgghbloodbank@gmail.comsupdtgghknl@gmail.com,,,,kulgghbloodbank@gmail.com,Government,
M/s. Indian Red Cross Society Blood Bank,Andhra Pradesh,KURNOOL,Kurnool,"Opposite Ravi Theatre, D.M & H.O Compound, Beside Control Room, Kurnool
",518002,08518 255347,9490601960,NA,indianredcrossknl@yahoo.com,"Dr. M. Venkatayya, Dr. Mumtaz Aziz",NA,"09440251277, 09490601960",ircsbloodbankknl@gmail.com,Charity,"3/KL/AP/2004/BB/R	"
M/s. Viswa Bharathi General Hospital Blood Bank,Andhra Pradesh,KURNOOL,Kurnool,"2nd Floor, R. T. Nagar, Near Penchikalapadu (v) Kallur (m), Kurnool ",518002,08518 283964,,,,,,,vbghbbknl@gmail.com,Government,
M/s. Viswa Bharathi Blood Bank,Andhra Pradesh,KURNOOL,Kurnool,"D. No. 50/760-A-127-13,1st Floor (O.P. Block), Gayathri Estate, Kurnool.",518002,08518 22294,,,,,,,,Charity,
M/s. R.R. Hospital Blood Bank,Andhra Pradesh,KURNOOL,Kurnool,"D.No.40-304-10, 2nd Floor, Bhagya Nagar, Kurnool",518004,08518 223131,9966662331,NA,NA,"Dr. Rahul Balamaddayya	",NA,9866659414,rrbloodbank@yahoo.in,Private,16/KNL/AP/2009/BB/G
District Hospital Blood Bank ,Andhra Pradesh,KURNOOL,Nandyal,"District Hospital, Noonepalli, Nandyal, Kurnool
",518502,8514221033,9959912781,NA,bbdhnandyal@gmail.com,Dr. K. Sunil Kumar,8514221033,9959912781,bbdhnandyal@gmail.com,Government,128/KL/AP/2000/BB/G
M/s. Shantiram Medical College & General Hospital Blood Bank,Andhra Pradesh,KURNOOL,Nandyal,"(Shafa Educational Society) NH-18, Nandyal",518501,,,,,,,,,,
Government Hospital Blood Bank,Andhra Pradesh,KURNOOL,Srisailam Project,"Blood Bank Medical Officer,  Blood Bank, Government Hospital, Srisailam Project, Kurnool District",518101,,,,,,,,,,
M/s. Area Hospital Blood Bank,Andhra Pradesh,PRAKASAM,Chirala,"Ground Floor, Room No.10, Area Hospital, Chirala, Prakasam ",523155,8520026320,9441743892,NA,shaikabdulhafiz@gmail.com,Dr. M. Priyamvada,NA,9441743892,ahchirala@yahoo.com,Government,"88/PK/AP/97/BB			"
Indian Red Cross Society Blood bank,Andhra Pradesh,PRAKASAM,Markapur,"A.P.V.P. Area Hospital, Cumbum Road, Markapur",523316,08596 223485,9440211131,NA,ahmarkapur@yahoo.com,Dr. P. Pitchi Reddy,NA,9440211131,docgpreddy@gmail.com,Charity,14/PS/AP/2008/BB/G
M/s. RIMS General Hospital Blood Bank,Andhra Pradesh,PRAKASAM,Ongole,"C/o. RIMS General Hospital , D.No. 8-5-2/A, Opposite Bapuji Kalamandir, Bhagya Nagar, 5th Lane, Ongole
",523001,8592233310,9000991884,,bloodbankrimsongole@gmail.com,,,,,Government,04/PRK/AP/2011/BB/G
Indian Red Cross Society Blood Bank,Andhra Pradesh,PRAKASAM,Ongole,"IRCS Blood Bank, Railway Station Road, SanthaPeta, Ongole, Prakasam
",523001,08592 236093,9247264635,NA,ircsbbongole@gmail.com,Dr. K.SHAMMI KASTHURI,NA,9948570246,ircsbbongole@gmail.com,Charity,135/PS/AP/99/BB/R
M/s. Life Line Volunytary Blood Bank,Andhra Pradesh,PRAKASAM,Ongole,"D. No.37-1-169/54, 2nd Floor, Sundharaiah Bhavan Raod, Ongole.
",523001,9247023117,"09247023117, 09848999117",NA,ehara.rao0900@gmail.com,Dr. G. Raghav,NA,9441126486,edara.rao0900@gmail.com,Charity,07/PRK/AP/2011/BB/G
M/s. Belief Blood Bank,Andhra Pradesh,PRAKASAM,Ongole,"3rd Floor, Sai Complex, Addanki Bus Stop, Ongole
",523001,08592 222345,9849499988,NA,NA,Dr. C. H. RaviKumar,NA,9849499988,beliefbloodbank@gmail.com,Charity,"18/PRK/AP/2009/BB/G	"
